"CARDID","LINEID","BEGINTIME","ENDTIME","STATIONFROM","STATIONTO","BUSID"
"04136FAE9A4E3A9DA00D9643BCBCF3AC","10945","20140401125400","20140401132516","32","44","00051035"
"3AB96D679FAC925990EF6DC2F997F1F7","10945","20140401131700","20140401132518","42","44","00051035"
"C25FB5B5D644C702344C068197A9C153","10945","20140401131700","20140401132818","42","45","00051035"
"F4880F47D4530543C3A8951BE1954C36","10945","20140401125000","20140401132833","30","45","00051035"
"C8E88974B0B52EC821A431A164D75D86","10945","20140401122700","20140401132836","21","45","00051035"
"F7A57EFC224D58A7AD99C750C42E938A","10945","20140401130000","20140401134203","13","45","00051035"
"99C959D94BCBB4825E4CC1CC09F0EB56","10945","20140401133700","20140401134207","34","45","00051035"
"12B6B1B52860C92FC51B42043AA3EE7C","10945","20000000000000","20140401134830","0","43","00051035"
"074EB48B3F8E18A43163C27999E3C20F","10945","20140401134100","20140401135206","45","42","00051035"
"CA50DAE71BDFA825AB00CD783D768B64","10945","20140401135600","20140401140126","41","38","00051035"
"1090AEAB60883303CD40CED088EFF4C7","10945","20140401075400","20140401140537","8","36","00051035"
"C9567CB9F046EBB8A9F62401AB8A6497","10945","20140401075400","20140401140541","8","36","00051035"
"FDC0909E2B98A0B619DDD01DADBCB4CF","10945","20140401135200","20140401142537","42","24","00051035"
"E83B54FA4E2DAC2106B5EAA0F0C9D7D2","10945","20140401135200","20140401142540","42","24","00051035"
"DB2143F3758052673FA84E629992D1D1","10945","20000000000000","20140401142548","0","24","00051035"
"99C66C63A0936E0E0B6F507EB818CA5A","10945","20140401141000","20140401142557","32","24","00051035"
"0580A181311D755729FC8D2A0E3EF6D0","10945","20140401143200","20140401144727","21","13","00051035"
"BD7DB0124762FCF7244276774FAED71E","10945","20140401150700","20140401151210","5","2","00051035"
"DAA0C55E9E14B45F9291CE4EE256541B","10945","20140401145600","20140401151217","9","2","00051035"
"4ACE40CC2CFB8ED744BFB3C5AB681A7B","10945","20140401152500","20140401155030","66","1","00051035"
"1FF4CD36E74EC28C1B1C4D917CB163A8","10945","20000000000000","20140401155323","0","2","00051035"
"2D352E46B5B1A506DF17338EBF5C4322","10945","20140401160800","20140401163531","9","21","00051035"
"38C9174638B7D43740E763CB851F224C","10945","20140401183500","20140401184337","28","24","00051035"
"311BAEEFDBE01CD42FD2101C5F2CDBF4","10945","20140401175300","20140401184351","45","24","00051035"
"AA258662BAB45614E2FF748642927B08","10945","20140401182900","20140401184354","30","24","00051035"
"426ECA633B2E8739E86317AD012D4AFE","10945","20140401181000","20140401184452","41","23","00051035"
"054912B5CB651809AB704A6F7299309A","10945","20140401182900","20140401184503","30","23","00051035"
"7F76B80FD1673F985822C96489411E90","10945","20140401182900","20140401184522","30","23","00051035"
"165D1C7099D2529D2981685406E1B416","10945","20140401182800","20140401184527","31","23","00051035"
"09AEB8F3DA436C4B442CD2CF5513971D","10945","20140401182900","20140401184529","30","23","00051035"
"8525273A3A9EEB7AD8A9A3C92EA8D887","10945","20140401181000","20140401185247","41","19","00051035"
"59AC62B526C11EAD0E03754EC3C28EE9","10945","20140401184400","20140401185608","24","17","00051035"
"7EA14C5EF2E0140FA788CFA8EB0BFA2E","10945","20140401182800","20140401185819","31","16","00051035"
"81EADE9DFAD7A9823CEDA4BEAC67121A","10945","20140401175300","20140401190109","45","16","00051035"
"A2016BA1F9F4A9D179FD24DB45031A69","10945","20140401175300","20140401190143","45","16","00051035"
"8B4775ABD18EF484FF464B785C698EAD","10945","20140401181400","20140401190649","39","13","00051035"
"7AFED8D0697E57EE8AA85C0E6FB4D2BC","10945","20140401175700","20140401191152","44","11","00051035"
"80B822EDB85002561CD9B273E82AA0EB","10945","20140401161700","20140401164132","13","24","00051035"
"877E8EEF80D05BADA93FB5E2D0506870","10945","20140401164100","20140401164926","24","28","00051035"
"EB7996F2B4439D804889D8FA655A2376","10945","20140401164100","20140401165423","24","30","00051035"
"85B0A40841CB943BF6FE5ED5698F924D","10945","20140401165700","20140401170547","32","37","00051035"
